37.115.184.26 - - [20/Oct/2015:18:38:09 -0700] "GET / HTTP/1.1" 200 8324 "http://recsil.org/" "Mozilla/1.22 (compatible; MSIE 2.0d; Windows NT)" "birminghambackandjointcare.com"
46.152.174.153 - - [20/Oct/2015:19:50:53 -0700] "GET /theme.css HTTP/1.1" 200 3381 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
46.152.174.153 - - [20/Oct/2015:19:50:53 -0700] "GET /images/chiropractic.jpg HTTP/1.1" 200 12951 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
46.152.174.153 - - [20/Oct/2015:19:50:54 -0700] "GET /images/parkway_east_chiropractic_01.jpg HTTP/1.1" 200 479 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
46.152.174.153 - - [20/Oct/2015:19:50:54 -0700] "GET /images/parkway_east_chiropractic_07.jpg HTTP/1.1" 200 582 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
46.152.174.153 - - [20/Oct/2015:19:50:54 -0700] "GET /images/parkway_east_chiropractic_06.jpg HTTP/1.1" 200 3422 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
46.152.174.153 - - [20/Oct/2015:19:50:54 -0700] "GET /images/parkway_east_chiropractic_05.jpg HTTP/1.1" 200 54500 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
46.152.174.153 - - [20/Oct/2015:19:50:54 -0700] "GET /images/parkway_east_chiropractic_10.jpg HTTP/1.1" 200 3178 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
157.55.39.253 - - [20/Oct/2015:20:07:20 -0700] "GET / HTTP/1.1" 200 8324 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "birminghambackandjointcare.com"
61.135.190.222 - - [20/Oct/2015:22:06:20 -0700] "GET / HTTP/1.1" 200 8324 "http://www.baidu.com/s?wd=DRKhalilawadchiropractic%2CPECAssociates%2CCenterPointALChiropractor%2CTrussvilleALChiropractor%2CBirminghamALChiropractor%2CBirminghamALChiropractic%2CBirminghamALbackpainrelief%2CBirminghamALbackinjury%2CBirminghamALneckpain%2CParkwayEastChiropractic%2CBirminghamALheadache%2CBirminghamALmigraine%2CBirminghamALneckinjury%2CBirminghamALautoaccidentinjury%2CBirminghamALspinaldecompression%2CBirminghamALChiropractors%2CDr.KhalilAwadD.C.andDr.DarrinWright%3AParkwayEastChiropractic%2CParkwayEastChiropracticClinicChiropracticcareforbackpain%2Cbackinjury%2Cneckpain%2Cneckinjury%2Cheadaches%2Cmigraines%2Cwhiplash%2Csciatica%2Cherniateddiscs%2CBirminghamAlabamatruckaccidents." "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
61.135.190.224 - - [20/Oct/2015:22:07:00 -0700] "GET / HTTP/1.1" 200 8324 "http://www.baidu.com/s?wd=DRKhalilawadchiropractic%2CPECAssociates%2CCenterPointALChiropractor%2CTrussvilleALChiropractor%2CBirminghamALChiropractor%2CBirminghamALChiropractic%2CBirminghamALbackpainrelief%2CBirminghamALbackinjury%2CBirminghamALneckpain%2CParkwayEastChiropractic%2CBirminghamALheadache%2CBirminghamALmigraine%2CBirminghamALneckinjury%2CBirminghamALautoaccidentinjury%2CBirminghamALspinaldecompression%2CBirminghamALChiropractors%2CDr.KhalilAwadD.C.andDr.DarrinWright%3AParkwayEastChiropractic%2CParkwayEastChiropracticClinicChiropracticcareforbackpain%2Cbackinjury%2Cneckpain%2Cneckinjury%2Cheadaches%2Cmigraines%2Cwhiplash%2Csciatica%2Cherniateddiscs%2CBirminghamAlabamatruckaccidents." "Mozilla/5.0 (iPhone; CPU iPhone OS 5_0 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A334 Safari/7534.48.3" "birminghambackandjointcare.com"
