37.115.184.26 - - [22/Oct/2015:17:06:44 -0700] "GET / HTTP/1.1" 200 8324 "http://finstroy.net/" "Mozilla/1.22 (compatible; MSIE 2.0; Windows 95)" "birminghambackandjointcare.com"
50.248.158.50 - - [22/Oct/2015:19:26:52 -0700] "GET / HTTP/1.1" 200 8324 "-" "Mozilla/4.0 (compatible; Synapse)" "birminghambackandjointcare.com"
50.248.158.50 - - [22/Oct/2015:19:26:52 -0700] "GET //skin/install/default/install.php?q=echo(\"CAN_I_UPLOAD_SHELL_HERE\"); HTTP/1.1" 404 89 "-" "Mozilla/4.0 (compatible; Synapse)" "birminghambackandjointcare.com"
46.119.123.33 - - [22/Oct/2015:19:49:06 -0700] "GET / HTTP/1.1" 200 8324 "http://modabutik.ru/" "Mozilla/6.0 (compatible; MSIE 7.0a1; Windows NT 5.2; SV1)" "birminghambackandjointcare.com"
46.119.123.33 - - [22/Oct/2015:19:49:07 -0700] "GET / HTTP/1.1" 200 8324 "http://modabutik.ru/" "Mozilla/6.0 (compatible; MSIE 7.0a1; Windows NT 5.2; SV1)" "birminghambackandjointcare.com"
46.119.123.33 - - [22/Oct/2015:19:49:07 -0700] "GET / HTTP/1.1" 200 8324 "http://modabutik.ru/" "Mozilla/6.0 (compatible; MSIE 7.0a1; Windows NT 5.2; SV1)" "birminghambackandjointcare.com"
207.46.13.150 - - [23/Oct/2015:00:08:36 -0700] "GET / HTTP/1.1" 200 8324 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "birminghambackandjointcare.com"
199.30.24.113 - - [23/Oct/2015:00:08:37 -0700] "GET /images/gift-cards.jpg HTTP/1.1" 200 12930 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "birminghambackandjointcare.com"
199.30.24.113 - - [23/Oct/2015:00:08:37 -0700] "GET /theme.css HTTP/1.1" 200 3381 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "birminghambackandjointcare.com"
199.30.24.113 - - [23/Oct/2015:00:08:37 -0700] "GET /images/parkway_east_chiropractic_03.jpg HTTP/1.1" 200 16458 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "birminghambackandjointcare.com"
199.30.24.113 - - [23/Oct/2015:00:08:37 -0700] "GET /images/parkway_east_chiropractic_01.jpg HTTP/1.1" 200 479 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "birminghambackandjointcare.com"
199.30.24.113 - - [23/Oct/2015:00:08:37 -0700] "GET /images/chiropractic.jpg HTTP/1.1" 200 12951 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "birminghambackandjointcare.com"
199.30.24.113 - - [23/Oct/2015:00:08:37 -0700] "GET /images/parkway_east_chiropractic_06.jpg HTTP/1.1" 200 3422 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "birminghambackandjointcare.com"
